time,phoneme,F1,F2,F3,,
3.981366204,/a/,670.2821122,1352.693008,2039.28571,,
4.774185366,/ɶ/,559.3658387,1232.741962,1939.977214,,
5.091448211,/i/,387.7783954,2990.258048,3410.90422,,
5.341489028,/u/,408.0380246,796.7996217,2722.8615,,
5.554463493,/a/,799.3326125,1231.495824,1845.67543,,
5.781259309,/a/,690.5053324,1426.475544,1856.874003,,
1.154316713,/ɐ/,894.6411111,1402.987992,3336.664736,,
1.514675676,/i/,573.6442917,2528.190544,3249.96923,,
1.71907283,/u/,459.8421997,783.3939699,2820.734397,,
1.926376104,/a/,887.3414529,1149.885734,1480.456083,,
2.145303861,/ʌ/,737.6230933,1248.853514,3353.569013,,
2.423322738,/u/,415.8028904,859.4109478,2187.219113,,
2.549254634,/ɶ/,691.1228845,1399.660464,1851.55648,,
3.502628284,/ɐ/,927.1898086,1435.414512,3238.717073,,
3.883330092,/i/,592.2388809,3011.677566,3312.080501,,
4.101320612,/u/,483.2207364,873.0182421,3217.65517,,
4.331872851,/a/,947.0661758,1534.841204,3124.149474,,
4.549831902,/ʌ/,650.6894888,1228.374956,1633.227441,,
4.849162331,/u/,503.7083928,1046.484044,2984.680362,,
5.003155256,/ɶ/,828.8997824,849.7207083,1746.706736,,
5.958146326,/ɐ/,904.8572737,1444.211208,2200.394178,,
6.371784168,/i/,515.2137218,3071.837329,3233.172842,,
6.579087442,/u/,416.6038141,776.8069813,2517.58268,,
6.811577096,/a/,960.2491287,1526.101527,3138.82856,,
7.025661319,/ʌ/,569.448033,1161.401895,2268.282436,,
7.311429851,/u/,442.8087438,1185.351332,2758.416896,,
7.446080109,/ɶ/,666.4803846,1276.176309,1930.233565,,
1.548640643,/i/,420.5984452,2760.916938,3183.279406,,
1.726034972,/ɶ/,524.0751821,1222.751691,2200.808419,,
1.876317119,/i/,605.6744861,2532.786864,3098.572798,,
2.096823717,/ɶ/,463.2966097,1115.654291,1558.078264,,
2.139264896,/i/,432.5551474,1872.263017,2904.07659,,
2.352956596,/ɶ/,510.5314192,1405.711577,1875.904414,,
2.559026543,/a/,864.0611955,1508.175493,1672.751993,,
2.795594843,/ɤ/,458.2281147,867.7177109,1705.961386,,
3.014028987,/a/,773.1416954,1436.40577,1821.080379,,
4.405101987,/i/,349.6559761,2786.786123,3296.14739,,
4.563134545,/ɶ/,661.3167397,2237.236349,2971.599848,,
4.710843613,/i/,558.0352021,2674.531487,3156.351969,,
5.165837343,/ɶ/,355.0025372,1842.418143,2949.47817,,
5.240230961,/i/,1612.555861,2753.265562,3666.431945,,
5.498991371,/ɶ/,582.0062026,2007.652309,2735.862216,,
5.670172926,/a/,898.3747472,1684.781038,3085.925073,,
6.078002816,/ɤ/,483.2632379,817.7017151,1887.958003,,
6.311161565,/a/,801.7084159,1416.398889,1915.491426,,
7.699375368,/i/,323.7271797,2789.651096,3280.388178,,
7.921855586,/ɶ/,619.9775316,2309.858129,3010.599306,,
8.050157622,/i/,386.514769,1015.91875,2847.890031,,
8.427489109,/ɶ/,522.4233145,1706.296794,2853.440357,,
8.471694012,/i/,407.0965726,1876.716461,2932.056553,,
8.713203729,/ɶ/,445.7562076,1894.532895,2957.896679,,
8.880465601,/a/,882.778108,1630.594956,2857.196266,,
9.206205069,/ɤ/,490.7158328,1387.270171,2536.696431,,
9.397921658,/a/,844.3710986,1821.676758,3158.797811,,
0.989272713,/a/,708.7353317,1292.86496,1572.152308,,
1.346731137,/e/,486.7196809,1828.351373,2557.395794,,
1.742731589,/u/,503.8496558,1335.481582,2555.882738,,
1.961892144,/i/,454.3129075,2805.625459,3163.547059,,
2.853479706,/a/,999.9289309,1400.100227,1695.827813,,
3.284243556,/e/,495.6010317,2338.23772,2546.483724,,
3.625831732,/u/,512.9691145,1216.290527,2811.47067,,
3.851793822,/i/,451.1972191,2759.383222,3189.782855,,
4.662726041,/a/,978.2636175,1314.597505,1398.985372,,
5.089711261,/e/,470.8339757,2164.896447,2537.542547,,
5.428276533,/u/,473.71337,1207.976082,2748.839022,,
5.613429416,/i/,436.0287984,2859.15656,3240.029878,,
1.316902306,/a/,901.1335185,1095.815601,1449.802505,,
1.680116355,/a/,861.5888526,1330.833944,1677.997592,,
1.976952477,/a/,863.2639257,1066.608838,1699.261096,,
2.289450807,/e/,772.3329514,798.1465872,2166.778614,,
2.478691036,/a/,911.6843421,1337.953088,1658.724958,,
2.718844884,/ɔ/,667.3445788,1043.953603,3166.029303,,
2.935132511,/ɒ/,728.0249305,1273.486718,3046.003523,,
4.067414254,/a/,996.1780975,1392.430034,1521.919608,,
4.513414257,/a/,871.6373992,1162.894361,1676.175734,,
4.769976132,/a/,890.7422997,1310.418775,1700.664381,,
5.144040911,/e/,707.6674075,1150.767861,2388.024283,,
5.382300591,/a/,1003.502287,1252.139405,1864.378227,,
5.661982868,/ɔ/,759.4472288,1148.95389,3157.256662,,
5.910340729,/ɒ/,709.3585857,1180.450093,2544.965867,,
6.89870356,/a/,985.4725605,1320.586096,1862.056874,,
7.226118277,/a/,886.1144993,1363.165093,1608.264256,,
7.49759654,/a/,831.6655426,1723.146991,3002.261487,,
7.766091525,/e/,677.0407315,1038.268894,2481.197131,,
7.956865127,/a/,849.1474274,1200.502832,1324.809363,,
8.146303256,/ɔ/,671.5939398,1124.149594,3063.874898,,
8.358861786,/ɒ/,688.121633,1112.226755,2600.637529,,
0.823913315,/a/,616.1299239,1103.775267,1554.801602,,
1.131685113,/a/,811.1261011,1153.52364,1559.954222,,
1.405431889,/a/,603.7171622,907.9407305,1592.82632,,
1.683818439,/e/,690.3901718,791.84271,2376.840281,,
1.869409473,/a/,812.8033618,1151.218085,1718.408433,,
2.094020305,/a/,770.8274834,983.329749,1691.702065,,
2.247132908,/ɒ/,663.2740071,1438.506932,2966.055076,,
3.18300387,/a/,880.1757907,1273.969267,1712.48149,,
